input_question,target_mongodb_query,target_python,target_answer,predicted_answer,data_source,generation_time,response_evaluation,response_score,predicted_mongodb_query,mongodb_evaluation,mongodb_score
How do I create a subject file?,,,"Based on the provided information, there are two ways to create a subject file:Using the GUI: You can use the metadata entry web application at https://metadata-entry.allenneuraldynamics.org/ Using Python code: You'll need to use the aind-data-schema library. ","Based on the provided information, there are two ways to create a subject file:

1. Using the GUI:
You can use the metadata entry web application at https://metadata-entry.allenneuraldynamics.org/

2. Using Python code:
You'll need to use the aind-data-schema library. Here's a basic example:

```python
from aind_data_schema import Subject

# Create a subject instance with required fields
subject = Subject(
    subject_id=""mouse_123"",  # Unique identifier for the subject
    species=""Mus musculus"",
    sex=""M"",
    date_of_birth=""2023-01-01"",  # Format: YYYY-MM-DD
)

# Save to JSON file
subject_json = subject.model_dump_json(indent=2)
with open(""subject.json"", ""w"") as f:
    f.write(subject_json)
```

Note: If you are using subjects from the Allen Institute animal facility, the metadata service (http://aind-metadata-service/) will automatically pull the metadata from LabTracks, so you won't need to create the file manually.

The subject file contains important information about the animal such as:
- Sex
- Species
- Genotype
- Identifiers
- Source information
- Breeding background

Make sure to include all relevant information about your subject when creating the file.",data_schema,15.82846141,CORRECT,1,No MongoDB query was generated,ERROR,0
Do I need to create a new rig/instrument file for each data asset?,,,"Ideally no. The rig/instrument file should be relatively stable and hopefully won’t change much from one day to the next, so you can reuse the same file for multiple data assets. However, when the devices in a rig do change, the rig/ instrument file must be updated. For instance, replacing a broken Neuropixels probe requires an updated file, as does adding or moving a camera to a rig. The rig_id and the date_of_modification should make it clear when the file was last updated.","Based on the provided documentation, you do not need to create a new rig/instrument file for each data asset. Here's the key information:

1. The rig/instrument file should be relatively stable and can be reused for multiple data assets as long as the rig configuration hasn't changed.

2. You only need to create a new rig/instrument file when:
- Devices in the rig change (e.g., replacing a broken Neuropixels probe)
- Adding or moving devices (e.g., adding/moving a camera)
- The rig configuration is modified in any way

3. When changes are made, the file should be updated with:
- A new `rig_id` that follows the format: room number_rig description_modification date 
  (e.g., ""123_EPHYS1_20240213"")
- Updated `date_of_modification`

4. Important note: You cannot use the same rig/instrument file interchangeably between different behavior boxes, even if they seem identical, because each box has unique device instances with different serial numbers that need to be tracked separately.

The goal is to minimize redundant information while maintaining accurate documentation of the rig/instrument configuration used for data collection.",data_schema,14.71807194,CORRECT,1,No MongoDB query was generated,ERROR,0
How do I use the Calibration field?,,,"This is to track any device calibrations that are performed, such as gamma correction for monitors, reward valve delivery calibration, laser power calibration, etc. For calibrations that are done less frequently (e.g. gamma correction) this can be documented in the Rig schema. For calibrations that are done frequently, they can do documented in the Session schema. Both places use the same class. This class identifies which device is calibrated (using the device’s name), a description of the calibration (e.g. “Laser power calibration”), and then an input dictionary and an output dictionary. You can use this as makes most sense for your needs, but we envision the input dictionary having input values (say laser power percentage settings) and the output dictionary having output values (say the measured wattage out of the laser). You define the key and provide a list of the values. We recommed that you use the same dictionary structures when you do the same calibrations (when possible).","Based on the provided code, I can see that the calibration field appears in the DomeModule class as `calibration_date`. This is an optional datetime field that represents when the coordinate transform was last calibrated.

Here's how to use it:

```python
from datetime import datetime
from aind_data_schema.models import DomeModule

# Create a DomeModule instance with calibration date
dome_module = DomeModule(
    assembly_name=""example_assembly"",
    arc_angle=45,
    module_angle=90,
    calibration_date=datetime.now(),  # Sets calibration date to current time
    # ... other required fields
)

# Create without calibration date (since it's optional)
dome_module_no_cal = DomeModule(
    assembly_name=""example_assembly"",
    arc_angle=45,
    module_angle=90,
    # calibration_date is optional so can be omitted
    # ... other required fields
)

# Access the calibration date
cal_date = dome_module.calibration_date
```

The calibration_date field is used to track when the coordinate transform between the local manipulator axes and the rig was last calibrated. It's an optional field, so it can be omitted if not applicable.

This field is particularly relevant when working with manipulator modules mounted on the ephys dome insertion system, as it helps track when the spatial calibration was last performed.",data_schema,13.80563402,INCORRECT,0,No MongoDB query was generated,ERROR,0
How do I create a processing file?,,,"You can create a procedure file using our metadata entry web application. The internal data transfer service creates a processing.json file when it performs data compression or other preprocessing prior to upload. When derived data assets are created, they should have a processing.json files that has appended new processing steps to that original file. This needs to be done using python code that imports aind-data-schema.","Based on the provided documentation, here's how to create a processing file using AIND metadata libraries:

```python
from aind_data_schema.core.processing import Processing, PipelineProcess

# Create a pipeline process object
pipeline_process = PipelineProcess(
    name=""example_process"",
    version=""1.0.0"",
    code_url=""https://github.com/example/repo"",
    parameters={
        ""param1"": ""value1"",
        ""param2"": ""value2""
    },
    inputs=[
        ""input_file1.txt"",
        ""input_file2.txt""
    ],
    outputs=[
        ""output_file1.txt"",
        ""output_file2.txt""
    ]
)

# Create the processing object
processing = Processing(
    processing_pipeline=pipeline_process,
    notes=""Optional notes about the processing""
)

# Save to JSON
processing_json = processing.model_dump_json(indent=2)

# Write to file
with open(""processing.json"", ""w"") as f:
    f.write(processing_json)
```

The processing file should be placed in the processed data folder following this structure:

```
<asset name>/
    - data_description.json
    - processing.json
    - subject.json 
    - procedures.json
    - instrument.json
    - acquisition.json
    - <process-label-1>/
        - <list of files>
    - <process-label-2>/
        - <list of files>
```

Key points:
- Use the aind-data-schema library to create the processing file
- The processing.json file tracks what code was used, when it ran, inputs/outputs, and parameters
- It should be appended with each subsequent processing step
- The file documents things like spike sorting, image alignment, cell segmentation, etc.
- You can also use the metadata entry web application at metadata-entry.allenneuraldynamics.org

The processing file helps maintain provenance of how the data was processed and analyzed over time.",data_schema,16.93759322,CORRECT,1,No MongoDB query was generated,ERROR,0
Assess the completeness of experimental metadata for subject_id '675387,,,"Metadata Completeness Assessment for Subject ID 675387
Based on the provided data, I've analyzed the completeness of experimental metadata across all assets for subject_id '675387'.

Subject information: Complete (subject_id, species, sex, date of birth, genotype)
Subject procedures: Complete (surgery dates, experimenter names, procedure types)
Specimen procedures: Complete (fixation, delipidation, refractive index matching)
Acquisition data: Complete (session times, instrument ID, imaging parameters)
Instrument details: Complete (manufacturer, location, components)
Missing some tars_identifiers in virus information
Missing some calibration data for the instrument
Missing active objectives in acquisition data
Missing some reference values for injection coordinates
Missing some specimen housing information
Quality Control:
QC evaluations present for SPIM modality
Cell detection evaluations for channels 445 and 561 marked as ""Fail"" in thalamus region

The experimental metadata for subject_id '675387' is largely complete with comprehensive documentation of procedures, acquisition parameters, and instrument details, though some optional fields could be improved for better traceability.","# Completeness Assessment of Experimental Metadata for Subject ID 675387

The experimental metadata for subject ID 675387 is comprehensive but has some gaps:

## Complete Information:
- Basic subject information: ID (675387), species (Mus musculus), sex (Female), date of birth (2023-02-21), genotype (wt/wt)
- Surgery procedures: Two surgeries documented (2023-03-31 and 2023-04-28)
- Virus injections: Well-documented with detailed coordinates, volumes, and viral information
- Specimen procedures: Complete tissue processing workflow (SHIELD fixation, delipidation)
- Imaging data: Comprehensive SmartSPIM acquisition parameters with multiple channels (445nm, 561nm, 639nm)
- Quality control: Evaluations documented for cell detection in different channels

## Incomplete/Missing Information:
- Some surgery details: First surgery (perfusion) lacks anesthesia information and animal weights
- Viral preparation details: Missing preparation dates and some TARS identifiers
- Bregma to lambda distance: Not recorded for stereotaxic injections
- Injection durations: Not specified for the nanoject injections
- Quality control: Cell detection evaluations marked as ""Fail"" for both 445nm and 561nm channels
- Housing information: No details about animal housing conditions
- Wellness reports: Not included in the subject metadata

The metadata provides sufficient information to understand the experimental procedures but would benefit from completing the missing fields for comprehensive documentation.",vectorstore,22.95419407,CORRECT,1,No MongoDB query was generated,ERROR,0
what was the average age of animals injected with CVS N2cdG-H2B-tdTomato at time of perfusion use mongodb,,,"The analysis shows that the animals were perfused at the following ages:

Subject ID	Date of Birth	Perfusion Date	Age at Perfusion (days)
693977	2023-07-16	2023-09-12	58
693979	2023-07-16	2023-09-14	60
693980	2023-07-16	2023-09-13	59
698927	2023-07-18	2023-09-05	49
698928	2023-07-18	2023-09-05	49
Average age at perfusion: 55 days (approximately 7.9 weeks)

All animals were born in mid-July 2023 and perfused in early-to-mid September 2023, after receiving CVS N2cdG-H2B-tdTomato injections in late August 2023.","I'll help you calculate the average age of animals injected with CVS N2cdG-H2B-tdTomato at the time of perfusion.

From the retrieved documents, I can calculate the age for each subject by finding the time between their date of birth and perfusion date:

1. Subject 698927:
   - Date of Birth: 2023-07-18
   - Perfusion Date: 2023-09-05
   - Age at Perfusion: 49 days

2. Subject 693977:
   - Date of Birth: 2023-07-16
   - Perfusion Date: 2023-09-12
   - Age at Perfusion: 58 days

3. Subject 693979:
   - Date of Birth: 2023-07-16
   - Perfusion Date: 2023-09-14
   - Age at Perfusion: 60 days

4. Subject 693980:
   - Date of Birth: 2023-07-16
   - Perfusion Date: 2023-09-13
   - Age at Perfusion: 59 days

Calculating the average:
(49 + 58 + 60 + 59) / 4 = 56.5 days

The average age of animals injected with CVS N2cdG-H2B-tdTomato at the time of perfusion is 56.5 days.",direct_database,28.32929182,INCORRECT,0,"{'agg_pipeline': [{'$match': {'procedures.subject_procedures.procedures': {'$elemMatch': {'injection_materials.name': {'$regex': 'CVS N2cdG-H2B-tdTomato', '$options': 'i'}}}}}, {'$project': {'subject_id': '$subject.subject_id', 'date_of_birth': '$subject.date_of_birth', 'procedures': 1}}]}",INCORRECT,0
"For subject_id '675387', identify which brain structures have been imaged across multiple sessions and which imaging modalities were used for each.",,,"Based on the provided context, I can identify the brain structures that have been imaged across multiple sessions for subject_id '675387' and the imaging modalities used.

The subject had multiple imaging sessions using a SmartSPIM platform (Selective Plane Illumination Microscopy or SPIM). The imaging focused on several brain structures, with specific attention to the Thalamus as noted in the quality control evaluations.

Brain structures imaged across multiple sessions:

Thalamus (specifically mentioned in quality control evaluations)
Isocortex (targeted during injection procedures)
Imaging modalities used for each structure:

For Thalamus:

Selective Plane Illumination Microscopy (SPIM) using three different laser wavelengths:
445 nm laser (30.0 mW power) with 469 nm emission filter
561 nm laser (25.0 mW power) with 593 nm emission filter
639 nm laser (90.0 mW power) with 660 nm emission filter
For Isocortex:

Same SPIM modalities as above with the three laser wavelengths
The imaging was performed using a SmartSPIM instrument (SmartSPIM1-1 and SmartSPIM1-2) with multiple imaging sessions occurring on May 23-24, 2023, with additional processing on June 1, 2023. Quality control evaluations noted that cell detection in both the 445 nm and 561 nm channels failed specifically in the Thalamus region.","Based on the provided context, I can identify the brain structures that have been imaged across multiple sessions for subject_id '675387' and the imaging modalities used.

The subject had multiple imaging sessions using a SmartSPIM platform (Selective Plane Illumination Microscopy or SPIM). The imaging focused on the thalamus region, as indicated by the quality control notes stating ""Evaluation done only in Thalamus.""

Brain structures imaged across multiple sessions:
- Thalamus (specifically mentioned in quality control evaluations)
- Isocortex (targeted during injection procedures)

Imaging modalities used for each structure:
1. For Thalamus:
   - Selective Plane Illumination Microscopy (SPIM) using three different laser wavelengths:
     - 445 nm laser (30.0 mW power) with 469/35 nm bandpass filter
     - 561 nm laser (25.0 mW power) with 593/40 nm bandpass filter
     - 639 nm laser (90.0 mW power) with 667/30 nm bandpass filter

2. For Isocortex:
   - Same SPIM modalities as above, with the same three laser wavelengths and filters

The imaging was performed using a SmartSPIM instrument (SmartSPIM1-1 and SmartSPIM1-2) with multiple imaging sessions occurring on May 23-24, 2023, and additional processed data from June 1, 2023.",vectorstore,22.7219553,CORRECT,1,No MongoDB query was generated,ERROR,0
In 2024 which month had the most number of metadata assets collected?,"{""agg_pipeline"":[{""$match"":{""created"":{""$gte"":""2024-01-01T00:00:00.000Z"",""$lt"":""2025-01-01T00:00:00.000Z""}}},{""$project"":{""month"":{""$month"":{""$toDate"":""$created""}}}},{""$group"":{""_id"":""$month"",""count"":{""$sum"":1}}},{""$sort"":{""count"":-1}}]}",,"July (month 7) had the most metadata assets collected in 2024 with 9,360 assets.",Error: list index out of range,,,ERROR,0,ERROR,,
"How many injections were performed across all animals in the thalamus in the middle project using the following coordinate: AP: 2.8, ML: 0.2, DV: 0.6?","{""agg_pipeline"":[{""$match"":{""data_description.project_name"":""Thalamus in the middle"",""procedures.subject_procedures"":{""$elemMatch"":{""procedures"":{""$elemMatch"":{""injection_coordinate_ap"":""2.8"",""injection_coordinate_ml"":""0.2"",""injection_coordinate_depth"":""0.6""}}}}}},{""$project"":{""_id"":1,""name"":1,""data_description.project_name"":1,""procedures.subject_procedures.procedures"":{""$filter"":{""input"":{""$reduce"":{""input"":""$procedures.subject_procedures"",""initialValue"":[],""in"":{""$concatArrays"":[""$$value"",{""$filter"":{""input"":""$$this.procedures"",""as"":""proc"",""cond"":{""$and"":[{""$eq"":[""$$proc.injection_coordinate_ap"",""2.8""]},{""$eq"":[""$$proc.injection_coordinate_ml"",""0.2""]},{""$eq"":[""$$proc.injection_coordinate_depth"",""0.6""]}]}}}]}}},""as"":""proc"",""cond"":{""$eq"":[""$$proc.injection_coordinate_ap"",""2.8""]}}}}},{""$count"":""total_injections""}]}",,There are 20 injections with that coordinate.,"Based on the aggregation results retrieved from the MongoDB database, there were 20 injections performed across all animals in the Thalamus in the middle project using the specific coordinate:
- Anterior-Posterior (AP): 2.8
- Medial-Lateral (ML): 0.2
- Depth (DV): 0.6

Let me break down the aggregation pipeline that was used to retrieve this information:
1. First, it matched documents related to the ""Thalamus in the middle"" project
2. Unwind the subject procedures to access individual procedure details
3. Further filtered for injection procedures with the exact coordinates specified
4. Projected relevant details about the injections
5. Counted the total number of matching injections

The result shows that 20 injections were performed matching these precise coordinate specifications across the project's animals.

Would you like me to elaborate on any aspect of these injection details or explain the aggregation pipeline in more depth?",direct_database,36.23044944,CORRECT,1,"{'agg_pipeline': [{'$match': {'procedures.subject_procedures': {'$exists': True}, 'data_description.project_name': {'$regex': 'Thalamus in the middle', '$options': 'i'}}}, {'$unwind': '$procedures.subject_procedures'}, {'$unwind': '$procedures.subject_procedures.procedures'}, {'$match': {'procedures.subject_procedures.procedures.procedure_type': {'$regex': 'injection', '$options': 'i'}, 'procedures.subject_procedures.procedures.injection_coordinate_ap': '2.8', 'procedures.subject_procedures.procedures.injection_coordinate_ml': '0.2', 'procedures.subject_procedures.procedures.injection_coordinate_depth': {'$in': ['0.6', [0.6]]}}}, {'$project': {'subject_id': '$procedures.subject_id', 'procedure_type': '$procedures.subject_procedures.procedures.procedure_type', 'coordinates': {'ap': '$procedures.subject_procedures.procedures.injection_coordinate_ap', 'ml': '$procedures.subject_procedures.procedures.injection_coordinate_ml', 'depth': '$procedures.subject_procedures.procedures.injection_coordinate_depth'}, 'targeted_structure': '$procedures.subject_procedures.procedures.targeted_structure'}}, {'$count': 'total_injections'}]}",CORRECT,1
Provide the mongodb query needed to find the channels used in the SmartSPIM session from subject 699834 on oct 31st 2023,"[{$match:{'subject.subject_id': '699834','data_description.creation_time': { $gte: '2023-10-31T00:00:00Z', $lt: '2023-11-01T00:00:00Z'},'data_description.modality.name': 'Selective plane illumination microscopy'}},{$project: {name: 1, channels: '$acquisition.tiles.channel.channel_name'}},{$unwind: '$channels'},{$group: { _id: '$name', unique_channels: {$addToSet: '$channels'}}}]`",,"Based on the MongoDB query executed and the results returned, I can provide you with the MongoDB query needed to find the channels used in the SmartSPIM session from subject 699834 on October 31st, 2023. Here's the explanation of the query and its results: MongoDB Query:```javascript[{$match:{'subject.subject_id': '699834','data_description.creation_time': { $gte: '2023-10-31T00:00:00Z', $lt: '2023-11-01T00:00:00Z'},'data_description.modality.name': 'Selective plane illumination microscopy'}},{$project: {name: 1, channels: '$acquisition.tiles.channel.channel_name'}},{$unwind: '$channels'},{$group: { _id: '$name', unique_channels: {$addToSet: '$channels'}}}]``` Explanation of the query: 1. The `$match` stage filters the documents based on the subject ID, date range, and modality. 2. The `$project` stage selects the name field and extracts the channel names from the acquisition tiles. 3. The `$unwind` stage deconstructs the channels array. 4. The `$group` stage groups the results by the experiment name and collects unique channel names. Results: The query returned the following results: ```json [{'_id': 'SmartSPIM_699834_2023-10-31_16-31-46_stitched_2023-11-01_14-53-14', 'unique_channels': ['488', '561', '639']},{'_id': 'SmartSPIM_699834_2023-10-31_16-31-46','unique_channels': ['488', '561', '639']}]``` This shows that there were two entries for the SmartSPIM session on October 31st, 2023, for subject 699834: 1. The original session: 'SmartSPIM_699834_2023-10-31_16-31-46' 2. A stitched version: 'SmartSPIM_699834_2023-10-31_16-31-46_stitched_2023-11-01_14-53-14' Both entries used the same channels: 488 nm, 561 nm, and 639 nm. This query effectively retrieves the channels used in the SmartSPIM session for the specified subject and date.",Error: list index out of range,,,ERROR,0,ERROR,,
 Are there any data assets within the patch foraging group that are missing metadata fields?,"{""agg_pipeline"":[{""$match"":{""data_description.project_name"":{""$regex"":""patch foraging"",""$options"":""i""}}},{""$project"":{""_id"":1,""name"":1,""subject_id"":""$subject.subject_id"",""missing_fields"":{""$objectToArray"":{""subject"":{""$cond"":[{""$eq"":[""$subject"",null]},""missing"",""present""]},""data_description"":{""$cond"":[{""$eq"":[""$data_description"",null]},""missing"",""present""]},""procedures"":{""$cond"":[{""$eq"":[""$procedures"",null]},""missing"",""present""]},""session"":{""$cond"":[{""$eq"":[""$session"",null]},""missing"",""present""]},""rig"":{""$cond"":[{""$eq"":[""$rig"",null]},""missing"",""present""]},""processing"":{""$cond"":[{""$eq"":[""$processing"",null]},""missing"",""present""]},""acquisition"":{""$cond"":[{""$eq"":[""$acquisition"",null]},""missing"",""present""]},""instrument"":{""$cond"":[{""$eq"":[""$instrument"",null]},""missing"",""present""]},""quality_control"":{""$cond"":[{""$eq"":[""$quality_control"",null]},""missing"",""present""]}}}}},{""$match"":{""missing_fields.v"":""missing""}}]}",,"Missing Metadata Fields in Patch Foraging Group:
acquisition: 907 records
instrument: 907 records
quality_control: 907 records
procedures: 372 records

Total Records with Missing Fields: 907",Error: An error occurred (validationException) when calling the InvokeModelWithResponseStream operation: In,,,ERROR,0,ERROR,,
Can you show me how to construct a mongodb query to identify a specific smartspim experiment?," agg_pipeline:[{
    ""$match"": {
      ""data_description.modality.name"": ""Selective plane illumination microscopy"",
      ""name"": ""SmartSPIM_662616_2023-04-14_15-11-04""
    }
  },
  {
    ""$project"": {
      ""_id"": 1,
      ""name"": 1,
      ""subject.subject_id"": 1,
      ""data_description.creation_time"": 1
    }
  }]",,"To construct a MongoDB query for a specific SmartSPIM experiment:

1. Use the `$match` stage to filter for SmartSPIM experiments.
2. Specify unique identifiers for the experiment you're looking for.
3. Use the `$project` stage to select the fields you want to retrieve.

Here's the example query broken down:

```javascript
[
  {
    ""$match"": {
      ""data_description.modality.name"": ""Selective plane illumination microscopy"",
      ""name"": ""SmartSPIM_662616_2023-04-14_15-11-04""
    }
  },
  {
    ""$project"": {
      ""_id"": 1,
      ""name"": 1,
      ""subject.subject_id"": 1,
      ""data_description.creation_time"": 1
    }
  }
]
```

Explanation:

1. `$match` stage:
   - Filters for experiments with the modality ""Selective plane illumination microscopy"" (which is what SmartSPIM uses).
   - Specifies the exact name of the experiment we're looking for.

2. `$project` stage:
   - Selects which fields to include in the output.
   - `1` means include the field, `0` would mean exclude it.
   - We're including the experiment ID, name, subject ID, and creation time.

To use this query for a different SmartSPIM experiment, you would modify the `name` field in the `$match` stage to the specific experiment you're looking for. For example:

```javascript
""name"": ""SmartSPIM_ANOTHER-ID_YYYY-MM-DD_HH-MM-SS""
```

You can also add more fields to the `$match` stage if you need to be more specific, or to the `$project` stage if you want to retrieve additional information.

This query, when executed, returned the following result:

```json
[
  {
    ""_id"": ""ff7b07e8-3187-4fcc-96c5-62ea1750340c"",
    ""data_description"": {
      ""creation_time"": ""2023-04-14T15:11:04-04:00""
    },
    ""name"": ""SmartSPIM_662616_2023-04-14_15-11-04"",
    ""subject"": {
      ""subject_id"": ""662616""
    }
  }
]
```

This shows that the query successfully identified the specific SmartSPIM experiment and returned the requested information.","Based on the provided metadata information, to construct a MongoDB query to identify a specific SmartSPIM experiment, you would need to query based on the platform and modality fields. Here's how you could construct the query using AIND metadata:

```python
from aind_data_schema.base import AindModel
from aind_data_schema_models import Platform, Modality

# Construct the query
query = {
    ""platform"": Platform.SMARTSPIM,  # Query for SmartSPIM platform
    ""modality"": Modality.SPIM  # Query for SPIM modality
}

# If you want to find a specific experiment, you can add more criteria:
query.update({
    ""subject_id"": ""your_subject_id"",  # Add specific subject ID
    ""creation_time"": {""$gte"": start_date, ""$lte"": end_date}  # Add date range if needed
})
```

This query would search for:
1. Experiments using the SmartSPIM platform
2. Data with SPIM modality
3. Optional: Specific subject ID
4. Optional: Date range for when the data was created

The query can be used with MongoDB like this:
```python
# Example of using the query
results = collection.find(query)
```

Note that this is a basic query structure and can be modified based on specific needs by adding more fields from the data description schema such as:
- institution
- funding_source
- investigators
- data_level",data_schema,14.52861452,INCORRECT,0,No MongoDB query was generated,INCORRECT,0
Show me how to create a mongodb query for the imaging channels present in a specific stitched data asset.,"filter = {
    ""name"": # INSERT ASSET NAME
}

# Projection to extract only the channel information
projection = {
    ""acquisition.tiles.channel"": 1
}",,"import json
from aind_data_access_api.document_db import MetadataDbClient

API_GATEWAY_HOST = ""api.allenneuraldynamics.org""
DATABASE = ""metadata_index""
COLLECTION = ""data_assets""

docdb_api_client = MetadataDbClient(
    host=API_GATEWAY_HOST,
    database=DATABASE,
    collection=COLLECTION,
)

# Filter for the specific SmartSPIM dataset
filter = {
    ""name"": # INSERT ASSET NAME
}

# Projection to extract only the channel information
projection = {
    ""acquisition.tiles.channel"": 1
}

# Retrieve records with limit 1
records = docdb_api_client.retrieve_docdb_records(
    filter_query=filter,
    projection=projection,
    limit=1
)

# Extract unique channels
unique_channels = set()
for record in records:
    for tile in record.get('acquisition', {}).get('tiles', []):
        channel = tile.get('channel', {})
        unique_channels.add(channel.get('channel_name'))

print(""Unique Channels:"")
print(json.dumps(list(unique_channels), indent=2))","Based on the provided context, I can help create a MongoDB query to find imaging channels in a stitched data asset. Here's how you could structure the query using AIND metadata:

```python
from aind_data_schema.core.data_description import Modality

# Query for imaging channels in a specific stitched asset
query = {
    # Match the specific asset ID/name
    ""asset_id"": ""<your_asset_id>"",
    
    # Look for imaging related modalities
    ""modality"": {
        ""$in"": [
            Modality.POPHYS.name,  # For 2-photon imaging
            Modality.SLAP.name,    # For SLAP imaging
            Modality.FIB.name      # For fiber photometry
        ]
    },
    
    # Check for imaging channel related fields
    ""$or"": [
        {""light_sources"": {""$exists"": True}},
        {""detectors"": {""$exists"": True}},
        {""ophys_fovs"": {""$exists"": True}},
        {""slap_fovs"": {""$exists"": True}},
        {""fiber_connections"": {""$exists"": True}}
    ]
}

# Projection to return just the imaging channel fields
projection = {
    ""light_sources"": 1,
    ""detectors"": 1, 
    ""ophys_fovs"": 1,
    ""slap_fovs"": 1,
    ""fiber_connections"": 1
}
```

This query will:
1. Match a specific stitched data asset
2. Filter for imaging-related modalities
3. Check for the existence of imaging channel related fields
4. Return only the relevant imaging channel information

You would use this with your MongoDB client like:

```python
# Using AIND database connection
results = db.collection.find(query, projection)
```

Note that you'll need to:
1. Replace `<your_asset_id>` with the actual asset ID
2. Use the appropriate database and collection names
3. Have the proper AIND database connection configured

The query returns documents containing the imaging channel information from the matched stitched data asset.",data_schema,23.30348158,INCORRECT,0,No MongoDB query was generated,INCORRECT,0
"For subject 675387, create a timeline showing all procedures performed and identify any temporal overlaps between different experiment types.","{""filter"":{""subject.subject_id"":""675387""},""projection"":{""name"":1,""procedures"":1,""data_description.modality"":1}}",,"Timeline of Procedures for Subject 675387
Subject Procedures
March 31, 2023: Surgery - Nanoject injections

Experimenter: Mathew Summers
IACUC Protocol: 2109
Two virus injections performed:
AAVrg-Syn-H2B-Turquoise into Isocortex (right hemisphere)
AAVrg-Syn-H2B-tdTomato into Isocortex (right hemisphere)
Anesthesia: Isoflurane (1.5%) for 45 minutes
April 28, 2023: Surgery - Perfusion

Output specimen ID: 675387
Specimen Procedures
April 21-24, 2023: SHIELD OFF Fixation

Experimenter: DT
April 24-25, 2023: SHIELD ON Fixation

Experimenter: DT
April 30-May 1, 2023: 24h Delipidation

Experimenter: DT
May 1-3, 2023: Active Delipidation

Experimenter: DT
May 3-4, 2023: 50% EasyIndex (Refractive index matching)

Experimenter: DT
May 4-5, 2023: 100% EasyIndex (Refractive index matching)

Experimenter: DT
May 8-10, 2023: SHIELD OFF Fixation (repeated)

Experimenter: DT
May 10-11, 2023: SHIELD ON Fixation (repeated)

Experimenter: DT
May 15-16, 2023: Passive Delipidation (repeated)

Experimenter: DT
May 16-18, 2023: Active Delipidation (repeated)

Experimenter: DT
May 18-19, 2023: 50% EasyIndex (repeated)

Experimenter: DT
May 19-20, 2023: 100% EasyIndex (repeated)

Experimenter: DT
May 23-24, 2023: SmartSPIM Imaging

Session start: May 23, 2023, 23:05:56
Session end: May 24, 2023, 04:10:10
Experimenter: John Rohde
Temporal Overlaps
No temporal overlaps between different experiment types were identified in the procedures.
All procedures were performed sequentially with clear start and end dates.","# Timeline of Procedures for Subject 675387

## Subject Procedures
1. **March 31, 2023**: Surgery - Nanoject injections
   - Experimenter: Mathew Summers
   - IACUC Protocol: 2109
   - Procedures:
     - Nanoject injection of AAVrg-Syn-H2B-Turquoise into Isocortex (right hemisphere)
     - Nanoject injection of AAVrg-Syn-H2B-tdTomato into Isocortex (right hemisphere)
   - Anesthesia: Isoflurane (1.5%) for 45 minutes

2. **April 28, 2023**: Surgery - Perfusion
   - Output specimen ID: 675387

## Specimen Procedures
1. **April 21-24, 2023**: SHIELD OFF Fixation
   - Experimenter: DT
   - Note: Repeated May 8-10, 2023

2. **April 24-25, 2023**: SHIELD ON Fixation
   - Experimenter: DT
   - Note: Repeated May 10-11, 2023

3. **April 30-May 1, 2023**: 24h Delipidation
   - Experimenter: DT
   - Note: Repeated May 15-16, 2023

4. **May 1-3, 2023**: Active Delipidation
   - Experimenter: DT
   - Note: Repeated May 16-18, 2023

5. **May 3-4, 2023**: 50% EasyIndex (Refractive index matching)
   - Experimenter: DT
   - Note: Repeated May 18-19, 2023

6. **May 4-5, 2023**: 100% EasyIndex (Refractive index matching)
   - Experimenter: DT
   - Note: Repeated May 19-20, 2023

7. **May 23-24, 2023**: SmartSPIM Imaging
   - Session start: May 23, 2023, 23:05:56
   - Session end: May 24, 2023, 04:10:10
   - Experimenter: John Rohde

## Temporal Overlaps
- No temporal overlaps between different experiment types were identified in the provided data.
- The specimen procedures followed a sequential workflow from fixation through delipidation to refractive index matching before imaging.
- Some procedures were repeated (as noted in the specimen procedure notes), but these were sequential repetitions rather than overlapping different experiment types.",vectorstore,27.09623504,CORRECT,1,No MongoDB query was generated,INCORRECT,0
