input_question,target_mongodb_query,target_python,target_answer,predicted_answer,generation_time,response_evaluation,response_score,predicted_mongodb_query,mongodb_evaluation,mongodb_score,data_source
How do I create a subject file?,,,"Based on the provided information, there are two ways to create a subject file:Using the GUI: You can use the metadata entry web application at https://metadata-entry.allenneuraldynamics.org/ Using Python code: You'll need to use the aind-data-schema library. ","Based on the provided information, there are two ways to create a subject file:

1. Using the GUI:
You can use the metadata entry web application at https://metadata-entry.allenneuraldynamics.org/

2. Using Python code:
You'll need to use the aind-data-schema library. Here's a basic example:

```python
from aind_data_schema import Subject

# Create a subject instance with required fields
subject = Subject(
    subject_id=""mouse_123"",  # Unique identifier for the subject
    species=""Mus musculus"",
    sex=""M"",
    date_of_birth=""2023-01-01"",  # Format: YYYY-MM-DD
)

# Save to JSON file
subject_json = subject.model_dump_json(indent=2)
with open(""subject.json"", ""w"") as f:
    f.write(subject_json)
```

Note: If you are using subjects from the Allen animal facility, the metadata service (http://aind-metadata-service/) will automatically pull the metadata from LabTracks, so you won't need to create the file manually.

The subject file contains important information about the animal such as:
- Sex
- Species
- Genotype
- Identifiers
- Source information
- Breeding background

Make sure to include all relevant information about your subject when creating the file.",16.01503921,CORRECT,1,No MongoDB query was generated,ERROR,0,data_schema
Do I need to create a new rig/instrument file for each data asset?,,,"Ideally no. The rig/instrument file should be relatively stable and hopefully won’t change much from one day to the next, so you can reuse the same file for multiple data assets. However, when the devices in a rig do change, the rig/ instrument file must be updated. For instance, replacing a broken Neuropixels probe requires an updated file, as does adding or moving a camera to a rig. The rig_id and the date_of_modification should make it clear when the file was last updated.","Based on the provided documentation, you do not need to create a new rig/instrument file for each data asset. Here's the key information:

1. The rig/instrument file should be relatively stable and can be reused for multiple data assets as long as the rig configuration remains the same.

2. You only need to create a new rig/instrument file when:
- Devices in the rig change (e.g., replacing a broken Neuropixels probe)
- Adding or moving devices (e.g., adding/moving a camera)
- Any other physical changes to the rig configuration

3. When changes are made, the file should be updated with:
- A new `rig_id` that includes the modification date
- The `date_of_modification` field updated to reflect when changes were made

4. Important note: You cannot use the same rig/instrument file interchangeably between different behavior boxes, even if they seem identical, because each box has unique device instances with different serial numbers that need to be tracked separately.

The goal is to minimize redundant information while maintaining accurate documentation of the rig configuration used for data collection.",19.42805076,CORRECT,1,No MongoDB query was generated,ERROR,0,data_schema
How do I use the Calibration field?,,,"This is to track any device calibrations that are performed, such as gamma correction for monitors, reward valve delivery calibration, laser power calibration, etc. For calibrations that are done less frequently (e.g. gamma correction) this can be documented in the Rig schema. For calibrations that are done frequently, they can do documented in the Session schema. Both places use the same class. This class identifies which device is calibrated (using the device’s name), a description of the calibration (e.g. “Laser power calibration”), and then an input dictionary and an output dictionary. You can use this as makes most sense for your needs, but we envision the input dictionary having input values (say laser power percentage settings) and the output dictionary having output values (say the measured wattage out of the laser). You define the key and provide a list of the values. We recommed that you use the same dictionary structures when you do the same calibrations (when possible).","Based on the provided code, I can see that the calibration field appears in the DomeModule class as `calibration_date`. This is an optional datetime field that records when the coordinate transform was last calibrated for a dome module in the ephys dome insertion system.

Here's how to use it:

```python
from datetime import datetime
from aind_data_schema.models import DomeModule

# Create a DomeModule instance with calibration date
dome_module = DomeModule(
    assembly_name=""example_assembly"",
    arc_angle=45,
    module_angle=90,
    calibration_date=datetime(2023, 1, 1),  # Set calibration date
    # ... other required fields
)

# The calibration_date is optional, so you can also create without it
dome_module_no_cal = DomeModule(
    assembly_name=""example_assembly"", 
    arc_angle=45,
    module_angle=90,
    # calibration_date not specified
    # ... other required fields
)
```

Key points about the calibration_date field:
1. It is optional (Optional[datetime])
2. It records when the coordinate transform was last calibrated
3. It is used specifically for dome modules in the ephys dome insertion system
4. The default value is None if not specified

The calibration date helps track when the coordinate transformations for the dome module were last verified/updated to ensure accurate positioning.",22.12551212,INCORRECT,0,No MongoDB query was generated,ERROR,0,data_schema
How do I create a processing file?,,,"You can create a procedure file using our metadata entry web application. The internal data transfer service creates a processing.json file when it performs data compression or other preprocessing prior to upload. When derived data assets are created, they should have a processing.json files that has appended new processing steps to that original file. This needs to be done using python code that imports aind-data-schema.","Based on the provided documentation, here's how to create a processing file using AIND metadata libraries:

```python
from aind_data_schema.core.processing import Processing, PipelineProcess

# Create a pipeline process object
pipeline_process = PipelineProcess(
    name=""example_process"",
    version=""1.0.0"",
    code_url=""https://github.com/example/repo"",
    parameters={
        ""param1"": ""value1"",
        ""param2"": ""value2""
    },
    inputs=[
        ""input_file1.txt"",
        ""input_file2.txt""
    ],
    outputs=[
        ""output_file1.txt"",
        ""output_file2.txt""
    ]
)

# Create the processing object
processing = Processing(
    processing_pipeline=pipeline_process,
    notes=""Example processing pipeline""
)

# Save to JSON file
processing_json = processing.model_dump_json(indent=2)
with open(""processing.json"", ""w"") as f:
    f.write(processing_json)
```

Key points about creating a processing file:

1. You can use the metadata entry web application at metadata-entry.allenneuraldynamics.org

2. The internal data transfer service automatically creates a processing.json file during data compression/preprocessing

3. For derived data assets:
   - They should have a processing.json file
   - New processing steps should be appended to the original file
   - This must be done using Python code that imports aind-data-schema

4. The processing file should track:
   - What code was used
   - When it was run 
   - Input and output files
   - Parameters that were set
   - Processing steps like:
     - Spike sorting
     - Image alignment
     - Cell segmentation
     - Manual annotation
     - Quality control
     - Data analysis

5. The processing.json file should be stored in the asset folder along with other metadata files like:
   - data_description.json
   - subject.json
   - procedures.json
   - instrument.json
   - acquisition.json

The schema requires at minimum the ""processing_pipeline"" field to be specified, which describes the pipeline used to process the data.",21.92612386,CORRECT,1,No MongoDB query was generated,ERROR,0,data_schema
Assess the completeness of experimental metadata for subject_id '675387,,,"Metadata Completeness Assessment for Subject ID 675387
Based on the provided data, I've analyzed the completeness of experimental metadata across all assets for subject_id '675387'.

Subject information: Complete (subject_id, species, sex, date of birth, genotype)
Subject procedures: Complete (surgery dates, experimenter names, procedure types)
Specimen procedures: Complete (fixation, delipidation, refractive index matching)
Acquisition data: Complete (session times, instrument ID, imaging parameters)
Instrument details: Complete (manufacturer, location, components)
Missing some tars_identifiers in virus information
Missing some calibration data for the instrument
Missing active objectives in acquisition data
Missing some reference values for injection coordinates
Missing some specimen housing information
Quality Control:
QC evaluations present for SPIM modality
Cell detection evaluations for channels 445 and 561 marked as ""Fail"" in thalamus region

The experimental metadata for subject_id '675387' is largely complete with comprehensive documentation of procedures, acquisition parameters, and instrument details, though some optional fields could be improved for better traceability.","# Completeness Assessment of Experimental Metadata for Subject ID 675387

The experimental metadata for subject ID 675387 is comprehensive but has some gaps:

## Complete Information:
- Basic subject information: female Mus musculus, born 2023-02-21, wild-type genotype
- Subject procedures: Two surgeries documented (2023-03-31 and 2023-04-28)
- Detailed injection information: Nanoject injections with AAVrg-Syn-H2B-Turquoise and AAVrg-Syn-H2B-tdTomato viruses
- Specimen procedures: Complete tissue processing workflow (SHIELD fixation, delipidation, refractive index matching)
- Imaging data: SmartSPIM acquisition with detailed channel information (445nm, 561nm, 639nm wavelengths)
- Quality control: Evaluations for cell detection in 445nm and 561nm channels

## Missing or Incomplete Information:
1. IACUC protocol missing for the perfusion procedure (2023-04-28)
2. Animal weight data missing for the perfusion procedure
3. Anesthesia information missing for the perfusion procedure
4. Some virus preparation details incomplete (missing prep dates and protocols)
5. Bregma to lambda distance not recorded for injections
6. Some reagent lot numbers listed as ""unknown""
7. Quality control evaluations marked as ""Fail"" for cell detection in both channels
8. Limited evaluation scope (notes indicate ""Evaluation done only in Thalamus"")

The metadata provides sufficient information to understand the experimental workflow but lacks some specific details that would enhance reproducibility and quality assessment.",25.29707313,CORRECT,1,No MongoDB query was generated,ERROR,0,vectorstore
what was the average age of animals injected with CVS N2cdG-H2B-tdTomato at time of perfusion use mongodb,,,"The analysis shows that the animals were perfused at the following ages:

Subject ID	Date of Birth	Perfusion Date	Age at Perfusion (days)
693977	2023-07-16	2023-09-12	58
693979	2023-07-16	2023-09-14	60
693980	2023-07-16	2023-09-13	59
698927	2023-07-18	2023-09-05	49
698928	2023-07-18	2023-09-05	49
Average age at perfusion: 55 days (approximately 7.9 weeks)

All animals were born in mid-July 2023 and perfused in early-to-mid September 2023, after receiving CVS N2cdG-H2B-tdTomato injections in late August 2023.","I'll help you calculate the average age of animals injected with CVS N2cdG-H2B-tdTomato at the time of perfusion.

From the retrieved documents, I can calculate the age for each animal by comparing their date of birth with their perfusion date:

1. Subject 698927:
   - Date of Birth: 2023-07-18
   - Perfusion Date: 2023-09-05
   - Age at Perfusion: 49 days

2. Subject 693977:
   - Date of Birth: 2023-07-16
   - Perfusion Date: 2023-09-12
   - Age at Perfusion: 58 days

3. Subject 693979:
   - Date of Birth: 2023-07-16
   - Perfusion Date: 2023-09-14
   - Age at Perfusion: 60 days

4. Subject 693980:
   - Date of Birth: 2023-07-16
   - Perfusion Date: 2023-09-13
   - Age at Perfusion: 59 days

Calculating the average:
(49 + 58 + 60 + 59) / 4 = 56.5 days

The average age of animals injected with CVS N2cdG-H2B-tdTomato at the time of perfusion is 56.5 days.",29.98028111,INCORRECT,0,"{'agg_pipeline': [{'$match': {'procedures.subject_procedures': {'$elemMatch': {'procedures': {'$elemMatch': {'injection_materials.name': {'$regex': 'CVS N2cdG-H2B-tdTomato', '$options': 'i'}}}}}}}, {'$project': {'subject_id': '$subject.subject_id', 'date_of_birth': '$subject.date_of_birth', 'procedures': 1}}]}",INCORRECT,0,direct_database
"For subject_id '675387', identify which brain structures have been imaged across multiple sessions and which imaging modalities were used for each.",,,"Based on the provided context, I can identify the brain structures that have been imaged across multiple sessions for subject_id '675387' and the imaging modalities used.

The subject had multiple imaging sessions using a SmartSPIM platform (Selective Plane Illumination Microscopy or SPIM). The imaging focused on several brain structures, with specific attention to the Thalamus as noted in the quality control evaluations.

Brain structures imaged across multiple sessions:

Thalamus (specifically mentioned in quality control evaluations)
Isocortex (targeted during injection procedures)
Imaging modalities used for each structure:

For Thalamus:

Selective Plane Illumination Microscopy (SPIM) using three different laser wavelengths:
445 nm laser (30.0 mW power) with 469 nm emission filter
561 nm laser (25.0 mW power) with 593 nm emission filter
639 nm laser (90.0 mW power) with 660 nm emission filter
For Isocortex:

Same SPIM modalities as above with the three laser wavelengths
The imaging was performed using a SmartSPIM instrument (SmartSPIM1-1 and SmartSPIM1-2) with multiple imaging sessions occurring on May 23-24, 2023, with additional processing on June 1, 2023. Quality control evaluations noted that cell detection in both the 445 nm and 561 nm channels failed specifically in the Thalamus region.","Based on the provided context, I can identify the brain structures that have been imaged across multiple sessions for subject_id '675387' and the imaging modalities used.

The brain structures that were imaged across multiple sessions include:
1. Thalamus - This is specifically mentioned in the quality control evaluations where it states ""Evaluation done only in Thalamus""
2. Isocortex - This is mentioned as a targeted structure in the subject procedures

The imaging was performed using Selective Plane Illumination Microscopy (SPIM), specifically using a SmartSPIM instrument. 

Three imaging modalities/channels were used across the sessions:
1. 445 nm laser wavelength with 469 nm emission filter (blue channel)
2. 561 nm laser wavelength with 593 nm emission filter (green/yellow channel)
3. 639 nm laser wavelength with 660 nm emission filter (red channel)

The imaging was conducted on May 23-24, 2023, with the session starting at 2023-05-23T23:05:56 and ending at 2023-05-24T04:10:10.",22.17699075,CORRECT,1,No MongoDB query was generated,ERROR,0,vectorstore
In 2024 which month had the most number of metadata assets collected?,"{""agg_pipeline"":[{""$match"":{""created"":{""$gte"":""2024-01-01T00:00:00.000Z"",""$lt"":""2025-01-01T00:00:00.000Z""}}},{""$project"":{""month"":{""$month"":{""$toDate"":""$created""}}}},{""$group"":{""_id"":""$month"",""count"":{""$sum"":1}}},{""$sort"":{""count"":-1}}]}",,"July (month 7) had the most metadata assets collected in 2024 with 9,360 assets.",Error: list index out of range,,ERROR,0,ERROR,,,
"How many injections were performed across all animals in the thalamus in the middle project using the following coordinate: AP: 2.8, ML: 0.2, DV: 0.6?","{""agg_pipeline"":[{""$match"":{""data_description.project_name"":""Thalamus in the middle"",""procedures.subject_procedures"":{""$elemMatch"":{""procedures"":{""$elemMatch"":{""injection_coordinate_ap"":""2.8"",""injection_coordinate_ml"":""0.2"",""injection_coordinate_depth"":""0.6""}}}}}},{""$project"":{""_id"":1,""name"":1,""data_description.project_name"":1,""procedures.subject_procedures.procedures"":{""$filter"":{""input"":{""$reduce"":{""input"":""$procedures.subject_procedures"",""initialValue"":[],""in"":{""$concatArrays"":[""$$value"",{""$filter"":{""input"":""$$this.procedures"",""as"":""proc"",""cond"":{""$and"":[{""$eq"":[""$$proc.injection_coordinate_ap"",""2.8""]},{""$eq"":[""$$proc.injection_coordinate_ml"",""0.2""]},{""$eq"":[""$$proc.injection_coordinate_depth"",""0.6""]}]}}}]}}},""as"":""proc"",""cond"":{""$eq"":[""$$proc.injection_coordinate_ap"",""2.8""]}}}}},{""$count"":""total_injections""}]}",,There are 20 injections with that coordinate.,Error: list index out of range,,ERROR,0,ERROR,,,
Provide the mongodb query needed to find the channels used in the SmartSPIM session from subject 699834 on oct 31st 2023,"[{$match:{'subject.subject_id': '699834','data_description.creation_time': { $gte: '2023-10-31T00:00:00Z', $lt: '2023-11-01T00:00:00Z'},'data_description.modality.name': 'Selective plane illumination microscopy'}},{$project: {name: 1, channels: '$acquisition.tiles.channel.channel_name'}},{$unwind: '$channels'},{$group: { _id: '$name', unique_channels: {$addToSet: '$channels'}}}]`",,"Based on the MongoDB query executed and the results returned, I can provide you with the MongoDB query needed to find the channels used in the SmartSPIM session from subject 699834 on October 31st, 2023. Here's the explanation of the query and its results: MongoDB Query:```javascript[{$match:{'subject.subject_id': '699834','data_description.creation_time': { $gte: '2023-10-31T00:00:00Z', $lt: '2023-11-01T00:00:00Z'},'data_description.modality.name': 'Selective plane illumination microscopy'}},{$project: {name: 1, channels: '$acquisition.tiles.channel.channel_name'}},{$unwind: '$channels'},{$group: { _id: '$name', unique_channels: {$addToSet: '$channels'}}}]``` Explanation of the query: 1. The `$match` stage filters the documents based on the subject ID, date range, and modality. 2. The `$project` stage selects the name field and extracts the channel names from the acquisition tiles. 3. The `$unwind` stage deconstructs the channels array. 4. The `$group` stage groups the results by the experiment name and collects unique channel names. Results: The query returned the following results: ```json [{'_id': 'SmartSPIM_699834_2023-10-31_16-31-46_stitched_2023-11-01_14-53-14', 'unique_channels': ['488', '561', '639']},{'_id': 'SmartSPIM_699834_2023-10-31_16-31-46','unique_channels': ['488', '561', '639']}]``` This shows that there were two entries for the SmartSPIM session on October 31st, 2023, for subject 699834: 1. The original session: 'SmartSPIM_699834_2023-10-31_16-31-46' 2. A stitched version: 'SmartSPIM_699834_2023-10-31_16-31-46_stitched_2023-11-01_14-53-14' Both entries used the same channels: 488 nm, 561 nm, and 639 nm. This query effectively retrieves the channels used in the SmartSPIM session for the specified subject and date.",Error: list index out of range,,ERROR,0,ERROR,,,
 Are there any data assets within the patch foraging group that are missing metadata fields?,"{""agg_pipeline"":[{""$match"":{""data_description.project_name"":{""$regex"":""patch foraging"",""$options"":""i""}}},{""$project"":{""_id"":1,""name"":1,""subject_id"":""$subject.subject_id"",""missing_fields"":{""$objectToArray"":{""subject"":{""$cond"":[{""$eq"":[""$subject"",null]},""missing"",""present""]},""data_description"":{""$cond"":[{""$eq"":[""$data_description"",null]},""missing"",""present""]},""procedures"":{""$cond"":[{""$eq"":[""$procedures"",null]},""missing"",""present""]},""session"":{""$cond"":[{""$eq"":[""$session"",null]},""missing"",""present""]},""rig"":{""$cond"":[{""$eq"":[""$rig"",null]},""missing"",""present""]},""processing"":{""$cond"":[{""$eq"":[""$processing"",null]},""missing"",""present""]},""acquisition"":{""$cond"":[{""$eq"":[""$acquisition"",null]},""missing"",""present""]},""instrument"":{""$cond"":[{""$eq"":[""$instrument"",null]},""missing"",""present""]},""quality_control"":{""$cond"":[{""$eq"":[""$quality_control"",null]},""missing"",""present""]}}}}},{""$match"":{""missing_fields.v"":""missing""}}]}",,"Missing Metadata Fields in Patch Foraging Group:
acquisition: 907 records
instrument: 907 records
quality_control: 907 records
procedures: 372 records

Total Records with Missing Fields: 907","To determine if there are any data assets within the patch foraging group with missing metadata fields, I'll create a comprehensive query to check the completeness of metadata.

```python
import json

from aind_data_access_api.document_db import MetadataDbClient

API_GATEWAY_HOST = ""api.allenneuraldynamics.org""
DATABASE = ""metadata_index""
COLLECTION = ""data_assets""

docdb_api_client = MetadataDbClient(
    host=API_GATEWAY_HOST,
    database=DATABASE,
    collection=COLLECTION,
)

# Aggregation pipeline to find records with incomplete metadata
agg_pipeline = [
    {
        ""$match"": {
            ""data_description.project_name"": {""$regex"": ""patch foraging"", ""$options"": ""i""}
        }
    },
    {
        ""$project"": {
            ""name"": 1,
            ""missing_fields"": {
                ""$filter"": {
                    ""input"": [
                        ""subject_id"", 
                        ""data_description"", 
                        ""experimenter"", 
                        ""session_start_time"", 
                        ""session_end_time"",
                        ""data_type""
                    ],
                    ""as"": ""field"",
                    ""cond"": {""$or"": [
                        {""$eq"": [{""$type"": ""$$field""}, ""missing""]},
                        {""$eq"": [{""$type"": ""$$field""}, ""null""]},
                        {""$eq"": [""$$field"", """"]}
                    ]}
                }
            }
        }
    },
    {
        ""$match"": {
            ""$expr"": {""$gt"": [{""$size"": ""$missing_fields""}, 0]}
        }
    }
]

result = docdb_api_client.aggregate_docdb_records(
    pipeline=agg_pipeline
)
print(json.dumps(result, indent=3))
```

Analysis of the results:

1. The query is designed to:
   - Match records in the ""Cognitive flexibility in patch foraging"" project
   - Check for missing or null values in key metadata fields
   - Return records with incomplete metadata

2. Key metadata fields checked:
   - subject_id
   - data_description
   - experimenter
   - session_start_time
   - session_end_time
   - data_type

3. Result Interpretation:
   - If the result is an empty list, it means no records have missing metadata fields
   - If records are returned, they represent data assets with incomplete metadata

Recommendation:
- Run the query to get a precise list of data assets with missing metadata
- Review and complete the metadata for any identified records to ensure data quality and completeness

Would you like me to execute the query and provide the specific details of any missing metadata?",31.80027366,INCORRECT,0,"{'filter': {'data_description.project_name': {'$regex': 'patch foraging', '$options': 'i'}}, 'projection': {'_id': 1, 'name': 1, 'data_description.project_name': 1}}",INCORRECT,0,direct_database
Can you show me how to construct a mongodb query to identify a specific smartspim experiment?," agg_pipeline:[{
    ""$match"": {
      ""data_description.modality.name"": ""Selective plane illumination microscopy"",
      ""name"": ""SmartSPIM_662616_2023-04-14_15-11-04""
    }
  },
  {
    ""$project"": {
      ""_id"": 1,
      ""name"": 1,
      ""subject.subject_id"": 1,
      ""data_description.creation_time"": 1
    }
  }]",,"To construct a MongoDB query for a specific SmartSPIM experiment:

1. Use the `$match` stage to filter for SmartSPIM experiments.
2. Specify unique identifiers for the experiment you're looking for.
3. Use the `$project` stage to select the fields you want to retrieve.

Here's the example query broken down:

```javascript
[
  {
    ""$match"": {
      ""data_description.modality.name"": ""Selective plane illumination microscopy"",
      ""name"": ""SmartSPIM_662616_2023-04-14_15-11-04""
    }
  },
  {
    ""$project"": {
      ""_id"": 1,
      ""name"": 1,
      ""subject.subject_id"": 1,
      ""data_description.creation_time"": 1
    }
  }
]
```

Explanation:

1. `$match` stage:
   - Filters for experiments with the modality ""Selective plane illumination microscopy"" (which is what SmartSPIM uses).
   - Specifies the exact name of the experiment we're looking for.

2. `$project` stage:
   - Selects which fields to include in the output.
   - `1` means include the field, `0` would mean exclude it.
   - We're including the experiment ID, name, subject ID, and creation time.

To use this query for a different SmartSPIM experiment, you would modify the `name` field in the `$match` stage to the specific experiment you're looking for. For example:

```javascript
""name"": ""SmartSPIM_ANOTHER-ID_YYYY-MM-DD_HH-MM-SS""
```

You can also add more fields to the `$match` stage if you need to be more specific, or to the `$project` stage if you want to retrieve additional information.

This query, when executed, returned the following result:

```json
[
  {
    ""_id"": ""ff7b07e8-3187-4fcc-96c5-62ea1750340c"",
    ""data_description"": {
      ""creation_time"": ""2023-04-14T15:11:04-04:00""
    },
    ""name"": ""SmartSPIM_662616_2023-04-14_15-11-04"",
    ""subject"": {
      ""subject_id"": ""662616""
    }
  }
]
```

This shows that the query successfully identified the specific SmartSPIM experiment and returned the requested information.","Based on the provided metadata information, to construct a MongoDB query to identify a specific SmartSPIM experiment, you would need to query based on the platform and modality fields. Here's how you could construct the query using AIND metadata:

```python
from aind_data_schema.base import AindModel
from pydantic import Field

def get_smartspim_experiment(subject_id: str):
    """"""
    Constructs a MongoDB query to find SmartSPIM experiments for a specific subject
    
    Args:
        subject_id: The ID of the subject to query
    
    Returns:
        dict: MongoDB query
    """"""
    query = {
        ""platform"": ""SmartSPIM"",  # Platform is SmartSPIM
        ""subject_id"": subject_id,  # Match the specific subject
        ""modality"": ""SPIM""  # The modality for SmartSPIM is SPIM
    }
    
    return query
```

You can then use this query with your MongoDB client. For example:

```python
# Example usage:
subject_id = ""612345""
query = get_smartspim_experiment(subject_id)

# The query would look for documents that match:
# {
#     ""platform"": ""SmartSPIM"",
#     ""subject_id"": ""612345"",
#     ""modality"": ""SPIM""
# }
```

This query uses the key fields from the data description schema:
- platform: Identifies the specific platform (SmartSPIM)
- subject_id: Identifies the specific subject
- modality: Identifies the data type (SPIM for SmartSPIM experiments)

Based on the metadata documentation, this would find experiments that used the SmartSPIM lightsheet microscope platform to collect whole-brain neuroanatomy data for a specific subject.",23.50815392,INCORRECT,0,No MongoDB query was generated,INCORRECT,0,data_schema
Show me how to create a mongodb query for the imaging channels present in a specific stitched data asset.,"filter = {
    ""name"": # INSERT ASSET NAME
}

# Projection to extract only the channel information
projection = {
    ""acquisition.tiles.channel"": 1
}",,"import json
from aind_data_access_api.document_db import MetadataDbClient

API_GATEWAY_HOST = ""api.allenneuraldynamics.org""
DATABASE = ""metadata_index""
COLLECTION = ""data_assets""

docdb_api_client = MetadataDbClient(
    host=API_GATEWAY_HOST,
    database=DATABASE,
    collection=COLLECTION,
)

# Filter for the specific SmartSPIM dataset
filter = {
    ""name"": # INSERT ASSET NAME
}

# Projection to extract only the channel information
projection = {
    ""acquisition.tiles.channel"": 1
}

# Retrieve records with limit 1
records = docdb_api_client.retrieve_docdb_records(
    filter_query=filter,
    projection=projection,
    limit=1
)

# Extract unique channels
unique_channels = set()
for record in records:
    for tile in record.get('acquisition', {}).get('tiles', []):
        channel = tile.get('channel', {})
        unique_channels.add(channel.get('channel_name'))

print(""Unique Channels:"")
print(json.dumps(list(unique_channels), indent=2))","Based on the provided context, I can help create a MongoDB query to find imaging channels in a stitched data asset. Here's how you could structure the query using AIND metadata:

```python
from aind_data_schema.core.data_description import Modality

# Query for imaging channels in a specific stitched asset
query = {
    # Match the specific asset ID/name
    ""asset_id"": ""<your_asset_id>"",
    
    # Look for imaging related modalities
    ""modality"": {
        ""$in"": [
            Modality.POPHYS.name,  # For 2-photon imaging
            Modality.SLAP.name,    # For SLAP imaging
            Modality.FIB.name      # For fiber photometry
        ]
    },
    
    # Check for imaging channel related fields
    ""$or"": [
        {""light_sources"": {""$exists"": True}},
        {""detectors"": {""$exists"": True}},
        {""ophys_fovs"": {""$exists"": True}},
        {""slap_fovs"": {""$exists"": True}},
        {""fiber_connections"": {""$exists"": True}}
    ]
}

# Projection to return just the imaging channel fields
projection = {
    ""light_sources"": 1,
    ""detectors"": 1, 
    ""ophys_fovs"": 1,
    ""slap_fovs"": 1,
    ""fiber_connections"": 1
}
```

This query will:
1. Match a specific stitched data asset by ID
2. Filter for imaging-related modalities
3. Look for documents that have imaging channel related fields
4. Return only the relevant imaging channel information

You would execute this query against your MongoDB collection containing the AIND metadata. The exact collection name would depend on your specific database setup.

Note that this is a basic query structure - you may need to adjust it based on your specific metadata schema implementation and requirements.",18.65744901,INCORRECT,0,No MongoDB query was generated,INCORRECT,0,data_schema
"For subject 675387, create a timeline showing all procedures performed and identify any temporal overlaps between different experiment types.","{""filter"":{""subject.subject_id"":""675387""},""projection"":{""name"":1,""procedures"":1,""data_description.modality"":1}}",,"Timeline of Procedures for Subject 675387
Subject Procedures
March 31, 2023: Surgery - Nanoject injections

Experimenter: Mathew Summers
IACUC Protocol: 2109
Two virus injections performed:
AAVrg-Syn-H2B-Turquoise into Isocortex (right hemisphere)
AAVrg-Syn-H2B-tdTomato into Isocortex (right hemisphere)
Anesthesia: Isoflurane (1.5%) for 45 minutes
April 28, 2023: Surgery - Perfusion

Output specimen ID: 675387
Specimen Procedures
April 21-24, 2023: SHIELD OFF Fixation

Experimenter: DT
April 24-25, 2023: SHIELD ON Fixation

Experimenter: DT
April 30-May 1, 2023: 24h Delipidation

Experimenter: DT
May 1-3, 2023: Active Delipidation

Experimenter: DT
May 3-4, 2023: 50% EasyIndex (Refractive index matching)

Experimenter: DT
May 4-5, 2023: 100% EasyIndex (Refractive index matching)

Experimenter: DT
May 8-10, 2023: SHIELD OFF Fixation (repeated)

Experimenter: DT
May 10-11, 2023: SHIELD ON Fixation (repeated)

Experimenter: DT
May 15-16, 2023: Passive Delipidation (repeated)

Experimenter: DT
May 16-18, 2023: Active Delipidation (repeated)

Experimenter: DT
May 18-19, 2023: 50% EasyIndex (repeated)

Experimenter: DT
May 19-20, 2023: 100% EasyIndex (repeated)

Experimenter: DT
May 23-24, 2023: SmartSPIM Imaging

Session start: May 23, 2023, 23:05:56
Session end: May 24, 2023, 04:10:10
Experimenter: John Rohde
Temporal Overlaps
No temporal overlaps between different experiment types were identified in the procedures.
All procedures were performed sequentially with clear start and end dates.","# Timeline of Procedures for Subject 675387

## Subject Procedures
1. **2023-03-31**: Surgery - Nanoject injections
   - Experimenter: Mathew Summers
   - Two virus injections performed:
     - AAVrg-Syn-H2B-Turquoise into Isocortex (right hemisphere)
     - AAVrg-Syn-H2B-tdTomato into Isocortex (right hemisphere)
   - Animal weight: 15.6g before, 15.8g after
   - Anesthesia: Isoflurane (1.5%) for 45 minutes

2. **2023-04-28**: Surgery - Perfusion
   - Output specimen ID: 675387

## Specimen Procedures
1. **2023-04-21 to 2023-04-24**: SHIELD OFF Fixation
   - Experimenter: DT
   - Repeated: May 8-10, 2023

2. **2023-04-24 to 2023-04-25**: SHIELD ON Fixation
   - Experimenter: DT
   - Repeated: May 10-11, 2023

3. **2023-04-30 to 2023-05-01**: 24h Delipidation
   - Experimenter: DT
   - Repeated: May 15-16, 2023

4. **2023-05-01 to 2023-05-03**: Active Delipidation
   - Experimenter: DT
   - Repeated: May 16-18, 2023

5. **2023-05-03 to 2023-05-04**: 50% EasyIndex (Refractive index matching)
   - Experimenter: DT
   - Repeated: May 18-19, 2023

6. **2023-05-04 to 2023-05-05**: 100% EasyIndex (Refractive index matching)
   - Experimenter: DT
   - Repeated: May 19-20, 2023

7. **2023-05-23 to 2023-05-24**: SmartSPIM Imaging Session
   - Session start: 2023-05-23T23:05:56
   - Session end: 2023-05-24T04:10:10
   - Experimenter: John Rohde

## Temporal Overlaps
- No temporal overlaps between different experiment types were identified in the procedures.
- The specimen procedures followed a sequential workflow with tissue preparation steps (SHIELD fixation → delipidation → refractive index matching) followed by imaging.
- Some procedures were repeated in May according to the notes, but these were repetitions of the same procedure types rather than overlapping different experiment types.",30.11880636,CORRECT,1,No MongoDB query was generated,INCORRECT,0,vectorstore
